"","country_region","lat","long","date","status","cases"
"1","Afghanistan",33,65,"1/22/20","confirmed",0
"2","Afghanistan",33,65,"1/22/20","deaths",0
"3","Afghanistan",33,65,"1/23/20","confirmed",0
"4","Afghanistan",33,65,"1/23/20","deaths",0
"5","Afghanistan",33,65,"1/24/20","confirmed",0
"6","Afghanistan",33,65,"1/24/20","deaths",0
"7","Afghanistan",33,65,"1/25/20","confirmed",0
"8","Afghanistan",33,65,"1/25/20","deaths",0
"9","Afghanistan",33,65,"1/26/20","confirmed",0
"10","Afghanistan",33,65,"1/26/20","deaths",0
"11","Afghanistan",33,65,"1/27/20","confirmed",0
"12","Afghanistan",33,65,"1/27/20","deaths",0
"13","Afghanistan",33,65,"1/28/20","confirmed",0
"14","Afghanistan",33,65,"1/28/20","deaths",0
"15","Afghanistan",33,65,"1/29/20","confirmed",0
"16","Afghanistan",33,65,"1/29/20","deaths",0
"17","Afghanistan",33,65,"1/30/20","confirmed",0
"18","Afghanistan",33,65,"1/30/20","deaths",0
"19","Afghanistan",33,65,"1/31/20","confirmed",0
"20","Afghanistan",33,65,"1/31/20","deaths",0
"21","Afghanistan",33,65,"2/1/20","confirmed",0
"22","Afghanistan",33,65,"2/1/20","deaths",0
"23","Afghanistan",33,65,"2/2/20","confirmed",0
"24","Afghanistan",33,65,"2/2/20","deaths",0
"25","Afghanistan",33,65,"2/3/20","confirmed",0
"26","Afghanistan",33,65,"2/3/20","deaths",0
"27","Afghanistan",33,65,"2/4/20","confirmed",0
"28","Afghanistan",33,65,"2/4/20","deaths",0
"29","Afghanistan",33,65,"2/5/20","confirmed",0
"30","Afghanistan",33,65,"2/5/20","deaths",0
"31","Afghanistan",33,65,"2/6/20","confirmed",0
"32","Afghanistan",33,65,"2/6/20","deaths",0
"33","Afghanistan",33,65,"2/7/20","confirmed",0
"34","Afghanistan",33,65,"2/7/20","deaths",0
"35","Afghanistan",33,65,"2/8/20","confirmed",0
"36","Afghanistan",33,65,"2/8/20","deaths",0
"37","Afghanistan",33,65,"2/9/20","confirmed",0
"38","Afghanistan",33,65,"2/9/20","deaths",0
"39","Afghanistan",33,65,"2/10/20","confirmed",0
"40","Afghanistan",33,65,"2/10/20","deaths",0
"41","Afghanistan",33,65,"2/11/20","confirmed",0
"42","Afghanistan",33,65,"2/11/20","deaths",0
"43","Afghanistan",33,65,"2/12/20","confirmed",0
"44","Afghanistan",33,65,"2/12/20","deaths",0
"45","Afghanistan",33,65,"2/13/20","confirmed",0
"46","Afghanistan",33,65,"2/13/20","deaths",0
"47","Afghanistan",33,65,"2/14/20","confirmed",0
"48","Afghanistan",33,65,"2/14/20","deaths",0
"49","Afghanistan",33,65,"2/15/20","confirmed",0
"50","Afghanistan",33,65,"2/15/20","deaths",0
"51","Afghanistan",33,65,"2/16/20","confirmed",0
"52","Afghanistan",33,65,"2/16/20","deaths",0
"53","Afghanistan",33,65,"2/17/20","confirmed",0
"54","Afghanistan",33,65,"2/17/20","deaths",0
"55","Afghanistan",33,65,"2/18/20","confirmed",0
"56","Afghanistan",33,65,"2/18/20","deaths",0
"57","Afghanistan",33,65,"2/19/20","confirmed",0
"58","Afghanistan",33,65,"2/19/20","deaths",0
"59","Afghanistan",33,65,"2/20/20","confirmed",0
"60","Afghanistan",33,65,"2/20/20","deaths",0
"61","Afghanistan",33,65,"2/21/20","confirmed",0
"62","Afghanistan",33,65,"2/21/20","deaths",0
"63","Afghanistan",33,65,"2/22/20","confirmed",0
"64","Afghanistan",33,65,"2/22/20","deaths",0
"65","Afghanistan",33,65,"2/23/20","confirmed",0
"66","Afghanistan",33,65,"2/23/20","deaths",0
"67","Afghanistan",33,65,"2/24/20","confirmed",1
"68","Afghanistan",33,65,"2/24/20","deaths",0
"69","Afghanistan",33,65,"2/25/20","confirmed",1
"70","Afghanistan",33,65,"2/25/20","deaths",0
"71","Afghanistan",33,65,"2/26/20","confirmed",1
"72","Afghanistan",33,65,"2/26/20","deaths",0
"73","Afghanistan",33,65,"2/27/20","confirmed",1
"74","Afghanistan",33,65,"2/27/20","deaths",0
"75","Afghanistan",33,65,"2/28/20","confirmed",1
"76","Afghanistan",33,65,"2/28/20","deaths",0
"77","Afghanistan",33,65,"2/29/20","confirmed",1
"78","Afghanistan",33,65,"2/29/20","deaths",0
"79","Afghanistan",33,65,"3/1/20","confirmed",1
"80","Afghanistan",33,65,"3/1/20","deaths",0
"81","Afghanistan",33,65,"3/2/20","confirmed",1
"82","Afghanistan",33,65,"3/2/20","deaths",0
"83","Afghanistan",33,65,"3/3/20","confirmed",1
"84","Afghanistan",33,65,"3/3/20","deaths",0
"85","Afghanistan",33,65,"3/4/20","confirmed",1
"86","Afghanistan",33,65,"3/4/20","deaths",0
"87","Afghanistan",33,65,"3/5/20","confirmed",1
"88","Afghanistan",33,65,"3/5/20","deaths",0
"89","Afghanistan",33,65,"3/6/20","confirmed",1
"90","Afghanistan",33,65,"3/6/20","deaths",0
"91","Afghanistan",33,65,"3/7/20","confirmed",1
"92","Afghanistan",33,65,"3/7/20","deaths",0
"93","Afghanistan",33,65,"3/8/20","confirmed",4
"94","Afghanistan",33,65,"3/8/20","deaths",0
"95","Afghanistan",33,65,"3/9/20","confirmed",4
"96","Afghanistan",33,65,"3/9/20","deaths",0
"97","Afghanistan",33,65,"3/10/20","confirmed",5
"98","Afghanistan",33,65,"3/10/20","deaths",0
"99","Afghanistan",33,65,"3/11/20","confirmed",7
"100","Afghanistan",33,65,"3/11/20","deaths",0
"101","Afghanistan",33,65,"3/12/20","confirmed",7
"102","Afghanistan",33,65,"3/12/20","deaths",0
"103","Afghanistan",33,65,"3/13/20","confirmed",7
"104","Afghanistan",33,65,"3/13/20","deaths",0
"105","Afghanistan",33,65,"3/14/20","confirmed",11
"106","Afghanistan",33,65,"3/14/20","deaths",0
"107","Afghanistan",33,65,"3/15/20","confirmed",16
"108","Afghanistan",33,65,"3/15/20","deaths",0
"109","Afghanistan",33,65,"3/16/20","confirmed",21
"110","Afghanistan",33,65,"3/16/20","deaths",0
"111","Afghanistan",33,65,"3/17/20","confirmed",22
"112","Afghanistan",33,65,"3/17/20","deaths",0
"113","Afghanistan",33,65,"3/18/20","confirmed",22
"114","Afghanistan",33,65,"3/18/20","deaths",0
"115","Afghanistan",33,65,"3/19/20","confirmed",22
"116","Afghanistan",33,65,"3/19/20","deaths",0
"117","Afghanistan",33,65,"3/20/20","confirmed",24
"118","Afghanistan",33,65,"3/20/20","deaths",0
"119","Afghanistan",33,65,"3/21/20","confirmed",24
"120","Afghanistan",33,65,"3/21/20","deaths",0
"121","Afghanistan",33,65,"3/22/20","confirmed",40
"122","Afghanistan",33,65,"3/22/20","deaths",1
"123","Afghanistan",33,65,"3/23/20","confirmed",40
"124","Afghanistan",33,65,"3/23/20","deaths",1
"125","Afghanistan",33,65,"3/24/20","confirmed",74
"126","Afghanistan",33,65,"3/24/20","deaths",1
"127","Afghanistan",33,65,"3/25/20","confirmed",84
"128","Afghanistan",33,65,"3/25/20","deaths",2
"129","Albania",41.1533,20.1683,"1/22/20","confirmed",0
