date,canton,cases,fatalities,icu,released,ventilated
2020-02-25,AG,NA,NA,NA,NA,NA
2020-02-25,AI,NA,NA,NA,NA,NA
2020-02-25,AR,NA,NA,NA,NA,NA
2020-02-25,BE,NA,NA,NA,NA,NA
2020-02-25,BL,NA,NA,NA,NA,NA
2020-02-25,BS,NA,NA,NA,NA,NA
2020-02-25,FR,NA,NA,NA,NA,NA
2020-02-25,GE,0,0,0,NA,0
2020-02-25,GL,NA,NA,NA,NA,NA
2020-02-25,GR,NA,NA,NA,NA,NA
2020-02-25,JU,NA,NA,NA,NA,NA
2020-02-25,LU,NA,NA,NA,NA,NA
2020-02-25,NE,NA,NA,NA,NA,NA
2020-02-25,NW,NA,NA,NA,NA,NA
2020-02-25,OW,NA,NA,NA,NA,NA
2020-02-25,SG,NA,NA,NA,NA,NA
2020-02-25,SH,NA,NA,NA,NA,NA
2020-02-25,SO,NA,NA,NA,NA,NA
2020-02-25,SZ,NA,NA,NA,NA,NA
2020-02-25,TG,NA,NA,NA,NA,NA
2020-02-25,TI,0,0,0,0,0
2020-02-25,UR,NA,NA,NA,NA,NA
2020-02-25,VD,NA,NA,NA,NA,NA
2020-02-25,VS,NA,NA,NA,NA,NA
2020-02-25,ZG,NA,NA,NA,NA,NA
2020-02-25,ZH,NA,NA,NA,NA,NA
2020-02-26,AG,NA,NA,NA,NA,NA
2020-02-26,AI,NA,NA,NA,NA,NA
2020-02-26,AR,NA,NA,NA,NA,NA
2020-02-26,BE,NA,NA,NA,NA,NA
2020-02-26,BL,NA,NA,NA,NA,NA
2020-02-26,BS,NA,NA,NA,NA,NA
2020-02-26,FR,NA,NA,NA,NA,NA
2020-02-26,GE,1,0,0,NA,0
2020-02-26,GL,NA,NA,NA,NA,NA
2020-02-26,GR,NA,NA,NA,NA,NA
2020-02-26,JU,NA,NA,NA,NA,NA
2020-02-26,LU,NA,NA,NA,NA,NA
2020-02-26,NE,NA,NA,NA,NA,NA
2020-02-26,NW,NA,NA,NA,NA,NA
2020-02-26,OW,NA,NA,NA,NA,NA
2020-02-26,SG,NA,NA,NA,NA,NA
2020-02-26,SH,NA,NA,NA,NA,NA
2020-02-26,SO,NA,NA,NA,NA,NA
2020-02-26,SZ,NA,NA,NA,NA,NA
2020-02-26,TG,NA,NA,NA,NA,NA
2020-02-26,TI,1,0,0,0,0
2020-02-26,UR,NA,NA,NA,NA,NA
2020-02-26,VD,NA,NA,NA,NA,NA
2020-02-26,VS,NA,NA,NA,NA,NA
2020-02-26,ZG,NA,NA,NA,NA,NA
