"","province_state","country_region","lat","long","date","status","cases"
"1",NA,"Afghanistan",33,65,"1/22/20","confirmed",0
"2",NA,"Afghanistan",33,65,"1/22/20","deaths",0
"3",NA,"Afghanistan",33,65,"1/22/20","recovered",0
"4",NA,"Afghanistan",33,65,"1/22/20","active",0
"5",NA,"Afghanistan",33,65,"1/23/20","confirmed",0
"6",NA,"Afghanistan",33,65,"1/23/20","deaths",0
"7",NA,"Afghanistan",33,65,"1/23/20","recovered",0
"8",NA,"Afghanistan",33,65,"1/23/20","active",0
"9",NA,"Afghanistan",33,65,"1/24/20","confirmed",0
"10",NA,"Afghanistan",33,65,"1/24/20","deaths",0
"11",NA,"Afghanistan",33,65,"1/24/20","recovered",0
"12",NA,"Afghanistan",33,65,"1/24/20","active",0
"13",NA,"Afghanistan",33,65,"1/25/20","confirmed",0
"14",NA,"Afghanistan",33,65,"1/25/20","deaths",0
"15",NA,"Afghanistan",33,65,"1/25/20","recovered",0
"16",NA,"Afghanistan",33,65,"1/25/20","active",0
"17",NA,"Afghanistan",33,65,"1/26/20","confirmed",0
"18",NA,"Afghanistan",33,65,"1/26/20","deaths",0
"19",NA,"Afghanistan",33,65,"1/26/20","recovered",0
"20",NA,"Afghanistan",33,65,"1/26/20","active",0
"21",NA,"Afghanistan",33,65,"1/27/20","confirmed",0
"22",NA,"Afghanistan",33,65,"1/27/20","deaths",0
"23",NA,"Afghanistan",33,65,"1/27/20","recovered",0
"24",NA,"Afghanistan",33,65,"1/27/20","active",0
"25",NA,"Afghanistan",33,65,"1/28/20","confirmed",0
"26",NA,"Afghanistan",33,65,"1/28/20","deaths",0
"27",NA,"Afghanistan",33,65,"1/28/20","recovered",0
"28",NA,"Afghanistan",33,65,"1/28/20","active",0
"29",NA,"Afghanistan",33,65,"1/29/20","confirmed",0
"30",NA,"Afghanistan",33,65,"1/29/20","deaths",0
"31",NA,"Afghanistan",33,65,"1/29/20","recovered",0
"32",NA,"Afghanistan",33,65,"1/29/20","active",0
"33",NA,"Afghanistan",33,65,"1/30/20","confirmed",0
"34",NA,"Afghanistan",33,65,"1/30/20","deaths",0
"35",NA,"Afghanistan",33,65,"1/30/20","recovered",0
"36",NA,"Afghanistan",33,65,"1/30/20","active",0
"37",NA,"Afghanistan",33,65,"1/31/20","confirmed",0
"38",NA,"Afghanistan",33,65,"1/31/20","deaths",0
"39",NA,"Afghanistan",33,65,"1/31/20","recovered",0
"40",NA,"Afghanistan",33,65,"1/31/20","active",0
"41",NA,"Afghanistan",33,65,"2/1/20","confirmed",0
"42",NA,"Afghanistan",33,65,"2/1/20","deaths",0
"43",NA,"Afghanistan",33,65,"2/1/20","recovered",0
"44",NA,"Afghanistan",33,65,"2/1/20","active",0
"45",NA,"Afghanistan",33,65,"2/2/20","confirmed",0
"46",NA,"Afghanistan",33,65,"2/2/20","deaths",0
"47",NA,"Afghanistan",33,65,"2/2/20","recovered",0
"48",NA,"Afghanistan",33,65,"2/2/20","active",0
"49",NA,"Afghanistan",33,65,"2/3/20","confirmed",0
"50",NA,"Afghanistan",33,65,"2/3/20","deaths",0
"51",NA,"Afghanistan",33,65,"2/3/20","recovered",0
"52",NA,"Afghanistan",33,65,"2/3/20","active",0
"53",NA,"Afghanistan",33,65,"2/4/20","confirmed",0
"54",NA,"Afghanistan",33,65,"2/4/20","deaths",0
"55",NA,"Afghanistan",33,65,"2/4/20","recovered",0
"56",NA,"Afghanistan",33,65,"2/4/20","active",0
"57",NA,"Afghanistan",33,65,"2/5/20","confirmed",0
"58",NA,"Afghanistan",33,65,"2/5/20","deaths",0
"59",NA,"Afghanistan",33,65,"2/5/20","recovered",0
"60",NA,"Afghanistan",33,65,"2/5/20","active",0
"61",NA,"Afghanistan",33,65,"2/6/20","confirmed",0
"62",NA,"Afghanistan",33,65,"2/6/20","deaths",0
"63",NA,"Afghanistan",33,65,"2/6/20","recovered",0
"64",NA,"Afghanistan",33,65,"2/6/20","active",0
"65",NA,"Afghanistan",33,65,"2/7/20","confirmed",0
"66",NA,"Afghanistan",33,65,"2/7/20","deaths",0
"67",NA,"Afghanistan",33,65,"2/7/20","recovered",0
"68",NA,"Afghanistan",33,65,"2/7/20","active",0
"69",NA,"Afghanistan",33,65,"2/8/20","confirmed",0
"70",NA,"Afghanistan",33,65,"2/8/20","deaths",0
"71",NA,"Afghanistan",33,65,"2/8/20","recovered",0
"72",NA,"Afghanistan",33,65,"2/8/20","active",0
"73",NA,"Afghanistan",33,65,"2/9/20","confirmed",0
"74",NA,"Afghanistan",33,65,"2/9/20","deaths",0
"75",NA,"Afghanistan",33,65,"2/9/20","recovered",0
"76",NA,"Afghanistan",33,65,"2/9/20","active",0
"77",NA,"Afghanistan",33,65,"2/10/20","confirmed",0
"78",NA,"Afghanistan",33,65,"2/10/20","deaths",0
